hanja	readings	wonhoek	pilhoek	element	meaning	namefit	avoid
㒃	이	14	14	火		0	1
㒚	온,은	16	16	火		0	1
㒤	섭	20	20	火		0	1
㓏	경	9	9	水		0	1
㓗	결	14	14	水		0	1
㔕	글	6	6			0	1
㔡	별	12	12			0	1
㖀	률,율	9	9	水		0	1
㗿	하	16	16	水		0	1
㘔	새	20	20	水		0	1
㙫	집	15	15	土		0	1
㙯	예	15	15	土		0	1
㚱	구	8	8	土		0	1
㚾	형	8	8	土		0	1
㛃	결	9	9	土		0	1
㛄	의	9	9	土		0	1
㛅	이	9	9	土		0	1
㛆	타	9	9	土		0	1
㛦	남,람	11	11	土		0	1
㜏	운	13	13	土		0	1
㜖	조	14	14	土		0	1
㜣	연	15	15	土		0	1
㜯	희	17	17	土		0	1
㜺	찬	22	22	土		0	1
㝢	우	12	12	木		0	1
㞼	승	8	8	土		0	1
㟳	률	13	13	土		0	1
㠌	기	15	15	土		0	1
㠘	서	17	17	土		0	1
㠱	기	11	11	土		0	1
㡸	사	8	8	木		0	1
㢃	낭,랑	10	10	木		0	1
㢋	치	11	11	木		0	1
㢺	현	11	11	金		0	1
㣧	윤	11	11	火		0	1
㣭	종	12	12	火		0	1
㣽	서	7	7	火		0	1
㤊	효	8	7	火		0	1
㤖	저	9	8	火		0	1
㤞	탁	10	9	火		0	1
㥁	덕	12	12	火		0	1
㥠	서	13	12	火		3	1
㥥	우	13	12	火		0	1
㥯	은	14	14	火		0	1
㥼	언,은	15	14	火		0	1
㦀	봉	15	14	火		0	1
㦃	산	15	14	火		0	1
㦆	하	15	14	火		0	1
㦐	니,이	16	15	火		0	1
㦕	륭	16	15	火		0	1
㦥	헌	20	19	火		0	1
㦳	재	9	9	金		0	1
㦶	용	10	10	金		0	1
㧢	인	10	9	木		0	1
㨙	혜	14	13	木		0	1
㨜	건	14	13	木		0	1
㨣	옹	14	13	木		0	1
㨹	설	15	14	木		0	1
㩳	송	22	21	木		0	1
㩴	구	22	21	木		0	1
㩵	알	24	23	木		0	1
㩼	지	10	10	土		0	1
㪤	필	15	15	金		0	1
㫜	단	9	9	火		0	1
㫰	랑	11	11	火		0	1
㫶	주	12	12	火		0	1
㬂	우	13	13	火		0	1
㬃	대	13	13	火		0	1
㬈	온	13	13	火		0	1
㬎	현	14	14	火		0	1
㬚	철	16	16	火		0	1
㬣	대	18	18	火		0	1
㬳	오	8	8	水		0	1
㭲	극,급	11	11	木		0	1
㭸	도	12	12	木		0	1
㭹	현	12	12	木		0	1
㮁	효	12	12	木		0	1
㯖	덕,적	16	16	木		0	1
㯙	철	16	16	木		0	1
㯝	로	16	16	木		0	1
㯳	경	17	17	木		0	1
㰔	섭	21	21	木		0	1
㰤	하	9	9	火		0	1
㰩	해	10	10	火		0	1
㰫	참	10	10	火		0	1
㰭	후	10	10	火		0	1
㱆	희	17	17	火		0	1
㲀	진	11	11	金		0	1
