name	dominant	maleCount	femaleCount	ranks
가윤	F	0	46	
가은	F	0	2985	
가현	F	0	25	
강민	M	90	0	
건우	M	15127	0	2022:27,2021:18
경민	M	33	0	
경준	M	2	0	
규민	M	38	0	
나경	F	0	194	
나연	F	0	38	
나윤	F	0	502	2023:32,2021:29
나은	F	0	4271	2026:37,2025:29,2024:24,2023:20,2022:19,2021:16
다연	F	0	91	
다온	F	0	136	2022:38,2021:46
다윤	F	0	64	2023:47
다은	F	0	13325	2024:40,2022:28,2021:28
다인	F	0	405	2023:35,2021:32
다현	F	0	16	
단우	M	8	0	2026:38
도겸	M	93	0	2026:39,2021:29
도아	F	0	1433	2026:17,2025:18,2024:30,2023:30
도엽	M	2	0	
도윤	M	33371	0	2026:1,2025:1,2024:3,2023:2,2022:5,2021:4
도준	M	357	0	2025:24,2024:29,2023:27
도하	M	4869	0	2026:18,2025:12,2024:12,2023:17,2022:21,2021:22
도현	M	22289	0	2026:8,2025:5,2024:9,2023:8,2022:16,2021:23
동건	M	55	0	
동현	M	3309	0	
로아	F	0	511	2026:33,2024:36,2023:26,2022:22,2021:41
로운	M	3623	0	2026:26,2025:27,2024:19,2023:16,2022:15,2021:14
리아	F	0	2508	2026:27,2025:26,2024:22,2023:14,2022:21,2021:24
리안	F	0	23	2022:35
민건	M	49	0	
민경	F	0	44	
민규	M	948	0	
민서	F	65	22178	2023:40,2021:35
민석	M	235	0	
민성	M	3002	0	
민우	M	65	0	
민재	M	9068	0	
민주	F	0	533	
민준	M	34858	0	2025:29,2024:24,2023:28,2022:26,2021:16
민지	F	0	4827	
민찬	M	41	0	
민혁	M	115	0	
민호	M	8	0	
서린	F	0	10	2026:38
서아	F	0	18657	2026:2,2025:1,2024:2,2023:1,2022:2,2021:1
서연	F	0	32892	2026:35,2025:35,2024:33,2023:29,2022:17,2021:15
서영	F	0	4885	
서우	F	330	3755	2022:25,2021:19
서윤	F	0	38451	2026:1,2025:2,2024:11,2023:6,2022:8,2021:6
서율	F	3	155	2025:36,2024:38,2023:43
서은	F	0	345	2024:37,2023:39,2021:43
서준	M	38961	0	2026:5,2025:6,2024:6,2023:5,2022:2,2021:2
서진	M	10253	0	2023:30,2022:30,2021:19
서하	F	0	2788	2026:24,2025:20,2024:18,2023:38,2022:29,2021:18
서현	F	0	24185	2021:22
선우	M	17242	0	2026:11,2025:9,2024:7,2023:10,2022:9,2021:11
선호	M	10	0	2026:37
설	F	0	15	2023:41
설아	F	0	14	2024:39
성민	M	659	0	
성현	M	284	0	
세아	F	0	80	2021:44
소민	F	0	13	2023:44
소연	F	0	25	
소운	F	0	25	
소윤	F	0	6016	2021:36
소율	F	0	10244	2023:42,2021:25
소이	F	0	797	2026:31,2025:28,2024:20,2023:31,2022:30
수민	F	0	4096	
수빈	F	0	10695	
수아	F	0	16456	2026:14,2025:15,2024:17,2023:15,2022:18,2021:14
수연	F	0	1220	
수지	F	0	2	
수현	M	2419	242	
수호	M	9923	0	2026:7,2025:11,2024:10,2023:15,2022:11,2021:10
승민	M	4371	0	
승우	M	519	0	
승혁	M	21	0	
승현	M	3969	0	
승호	M	3	0	
시아	F	0	11601	2026:9,2025:10,2024:10,2023:11,2022:7,2021:12
시연	F	0	541	
시온	M	105	0	2023:32
시완	M	18	0	
시우	M	30917	0	2026:3,2025:4,2024:4,2023:6,2022:3,2021:6
시원	M	31	0	2026:33
시윤	M	8063	0	2026:15,2025:21,2024:27,2023:25,2022:20,2021:27
시은	F	0	1490	2026:30
시현	M	291	40	
시후	M	2052	0	
아린	F	0	11219	2026:8,2025:6,2024:9,2023:7,2022:9,2021:7
아윤	F	0	9355	2026:7,2025:9,2024:8,2023:4,2022:6,2021:8
아인	F	0	758	2022:33,2021:47
연서	F	0	412	
연우	M	8166	2082	2026:29,2025:22,2024:25,2023:18,2022:17,2021:17
연재	F	0	22	
예나	F	0	3223	2025:31,2024:29,2023:16,2022:15,2021:21
예린	F	0	5520	2026:23,2025:21,2024:35,2023:36,2022:37,2021:33
예서	F	0	871	2026:39,2025:30,2024:31,2023:23,2022:26,2021:42
예성	M	66	0	
예원	F	0	10747	
예은	F	0	10093	
예주	F	0	23	
예준	M	28945	0	2026:31,2025:23,2024:17,2023:11,2022:12,2021:8
예진	F	0	3891	
용준	M	10	0	
우빈	M	177	0	2021:35
우재	M	15	0	2025:33
우주	M	5949	0	2026:9,2025:13,2024:16,2023:13,2022:14,2021:20
우진	M	18108	0	2026:19,2025:20,2024:18,2023:23,2022:19,2021:25
우혁	M	19	0	
유나	F	0	6919	2026:16,2025:16,2024:14,2023:13,2022:14,2021:17
유빈	F	0	58	
유성	M	2	0	
유안	M	142	0	2026:24
유주	F	0	5188	2026:12,2025:27,2024:13,2023:18,2022:23,2021:27
유준	M	15724	0	2026:14,2025:18,2024:8,2023:9,2022:10,2021:9
유진	F	0	4059	
유찬	M	690	0	2026:32,2024:32,2021:36
유하	F	0	1267	2026:22,2025:17,2024:28,2023:37,2022:39,2021:45
윤서	F	0	21225	2026:11,2025:12,2024:15,2023:19,2022:32,2021:37
윤슬	F	0	1383	2026:21,2025:24,2024:21,2023:24,2022:34
윤아	F	0	1428	2026:40,2025:38,2023:45,2021:38
윤우	M	7228	0	2026:16,2025:16,2024:22,2023:21,2022:22,2021:21
윤재	M	46	0	2026:34,2025:34
윤지	F	0	154	
윤하	F	0	2	
율	M	4	0	
은서	F	0	13068	2023:46
은솔	F	0	51	
은우	M	13969	0	2026:23,2025:10,2024:5,2023:4,2022:6,2021:5
은지	F	0	3	
은찬	M	98	0	
은채	F	0	8	2026:41
은호	M	2376	0	2026:17,2025:17,2024:23,2022:28
이나	F	0	1099	2026:26,2025:25,2024:19,2023:34
이도	M	508	0	2026:20,2025:25
이든	M	1121	0	2026:40,2024:26,2023:24,2022:25,2021:24
이서	F	0	10525	2026:5,2025:4,2024:1,2023:2,2022:1,2021:2
이솔	F	0	1078	2026:19,2025:22,2024:26,2022:40
이안	M	9148	0	2026:6,2025:8,2024:15,2023:12,2022:8,2021:13
이준	M	15030	0	2026:2,2025:2,2024:1,2023:1,2022:1,2021:1
이한	M	129	0	2026:27,2025:32,2024:33,2023:35
이현	M	5251	41	2026:13,2025:15,2024:13,2023:14,2022:13
재민	M	501	0	
재원	M	118	0	
재윤	M	14	0	
재이	F	0	1045	2026:25,2025:23,2024:25,2023:25
재혁	M	16	0	
재현	M	172	0	
정우	M	3886	0	
제이	F	0	8	2026:42
주아	F	0	2617	2026:36
주원	M	24155	0	2026:21,2025:19,2024:20,2023:20,2022:18,2021:12
주한	M	102	0	2021:33
준서	M	16846	0	2024:34,2022:33,2021:30
준성	M	98	0	
준영	M	1912	0	
준우	M	19177	0	2026:28,2025:28,2024:28,2023:22,2022:23,2021:15
준혁	M	6591	0	
준호	M	38	0	
준환	M	21	0	
지민	F	68	16425	
지성	M	117	0	
지아	F	0	19979	2026:15,2025:11,2024:7,2023:3,2022:3,2021:4
지안	F	1169	16909	2026:6,2025:7,2024:5,2023:10,2022:5,2021:5
지연	F	0	26	
지완	M	221	0	
지우	F	432	31977	2026:13,2025:14,2024:12,2023:12,2022:10,2021:11
지원	F	124	7786	
지유	F	0	23051	2026:10,2025:8,2024:4,2023:8,2022:11,2021:13
지윤	F	0	14825	2023:33
지율	F	20	46	2021:39
지은	F	0	75	
지한	M	1135	0	2026:22,2025:26,2024:21,2021:31
지혁	M	50	0	
지현	F	0	186	
지호	M	27412	0	2026:12,2025:14,2024:11,2023:7,2022:7,2021:7
지환	M	1893	0	
지후	M	18724	0	2026:35,2025:31,2023:26,2022:29,2021:32
지훈	M	14743	0	
진우	M	379	0	
채린	F	0	200	2022:36,2021:40
채민	F	0	90	
채아	F	0	3810	2026:20,2025:19,2024:16,2023:17,2022:16,2021:20
채원	F	0	16904	2026:28,2022:24,2021:31
채윤	F	0	188	2026:34,2025:34,2021:34
채은	F	0	2222	2025:33,2022:31,2021:30
채이	F	0	2196	2026:18,2025:13,2024:23,2023:21
태리	F	0	984	2024:32,2023:28,2022:20,2021:26
태오	M	4849	0	2026:10,2025:7,2024:14,2023:19,2022:24,2021:26
태윤	M	4	0	
태이	M	44	0	2024:31
태하	M	44	0	2026:30
태현	M	49	0	
하랑	M	13	0	2023:33
하린	F	0	15500	2026:4,2025:3,2024:3,2023:9,2022:12,2021:9
하연	F	0	110	
하온	M	22	0	2026:36
하윤	F	0	28677	2026:3,2025:5,2024:6,2023:5,2022:4,2021:3
하율	F	0	1399	2026:29,2025:32,2024:27,2023:27,2022:27,2021:23
하은	F	0	24226	2024:34,2023:22,2022:13,2021:10
하준	M	27222	0	2026:4,2025:3,2024:2,2023:3,2022:4,2021:3
하진	M	152	0	2026:25,2025:30
한결	M	85	0	
현서	M	146	116	
현아	F	0	3	
현우	M	15455	0	2024:35,2023:34
현준	M	9553	0	
현지	F	0	51	
